含杂粒数,含杂面积,能量,熵,惯性矩,平稳性,回潮率
39,1.71,0.63484,0.72899,0.17274,0.91528,3.7
36,1.66,0.64240,0.71724,0.16653,0.91761,3.5
45,2.1,0.62047,0.76138,0.18059,0.91181,3.5
56,2.12,0.62440,0.75470,0.18011,0.91276,3.5
47,2.03,0.62186,0.76140,0.17700,0.91336,3.7
59,1.9,0.63588,0.73403,0.16959,0.91731,3.7
44,2.09,0.62524,0.75252,0.17858,0.91292,3.7
41,1.83,0.63359,0.73289,0.17530,0.91406,3.7
54,2.22,0.61787,0.77047,0.17910,0.91278,3.7
37,1.97,0.64837,0.70798,0.16577,0.91894,3.7
38,1.94,0.62811,0.74821,0.16900,0.91730,3.7
48,2.06,0.62931,0.74344,0.17843,0.91272,3.7
45,1.95,0.63437,0.73499,0.17178,0.91593,3.7
38,1.7,0.64060,0.71943,0.17524,0.91458,3.7
30,1.7,0.64145,0.71769,0.16505,0.91831,3.8
43,1.87,0.63279,0.73578,0.17262,0.91500,3.8
70,2.45,0.62418,0.76201,0.17921,0.91308,4.1
23,1.68,0.61940,0.75851,0.17188,0.91554,4.1
25,1.52,0.64034,0.71890,0.16478,0.91861,4.1
44,2.14,0.61295,0.77184,0.18191,0.91046,4
33,1.79,0.63911,0.72163,0.16982,0.91630,4
44,1.95,0.65236,0.70151,0.16161,0.92072,3.9
32,1.89,0.63937,0.72363,0.17038,0.91622,3.9
48,1.9,0.62547,0.75155,0.17311,0.91487,4
40,1.89,0.62960,0.74108,0.17264,0.91507,4
33,1.69,0.63716,0.72666,0.17315,0.91555,4
50,2.13,0.64368,0.71697,0.17026,0.91694,4
40,1.94,0.63376,0.73648,0.17136,0.91574,4
48,1.95,0.63653,0.72768,0.17200,0.91524,4
28,1.83,0.64348,0.71412,0.16317,0.91933,4
38,1.64,0.63185,0.73405,0.17787,0.91325,4
69,2.05,0.63455,0.73578,0.17698,0.91408,7.4
61,2.05,0.64556,0.71412,0.16892,0.91784,7.4
52,1.96,0.62837,0.74692,0.17379,0.91490,7.4
63,2.14,0.63731,0.73302,0.17490,0.91557,7.4
56,2.11,0.62730,0.74934,0.17619,0.91393,7.4
46,2.07,0.63043,0.74379,0.17390,0.91504,7.4
42,2.06,0.63697,0.72964,0.17123,0.91628,3.9
32,1.67,0.63768,0.72148,0.16600,0.91766,3.9
43,1.92,0.62989,0.74193,0.17583,0.91411,3.7
34,1.79,0.63886,0.72517,0.16975,0.91659,3.7
54,2.22,0.62496,0.75512,0.17951,0.91245,3.7
41,2.17,0.62476,0.75169,0.17950,0.91195,3.7
45,2.06,0.61084,0.77584,0.18363,0.90972,3.7
28,2.1,0.63051,0.73838,0.17645,0.91289,4.3
31,2.12,0.62308,0.75458,0.17631,0.91346,4.3
39,2.19,0.62540,0.74940,0.18066,0.91091,4.1
50,2.29,0.62539,0.75112,0.17870,0.91244,4.1
33,1.82,0.64226,0.71290,0.17250,0.91511,4.1
29,1.57,0.64233,0.71345,0.16548,0.91814,4.1
34,2.12,0.62062,0.75248,0.17833,0.91177,4.1
30,1.71,0.64392,0.71064,0.16960,0.91637,4
36,2.13,0.63074,0.73640,0.17753,0.91252,4
32,1.74,0.64288,0.71391,0.16712,0.91729,4
28,1.82,0.64031,0.71579,0.16942,0.91624,4
31,1.77,0.63882,0.72397,0.16708,0.91742,4
28,2.01,0.63392,0.72943,0.17568,0.91353,4
33,1.75,0.62527,0.74595,0.17581,0.91330,4
27,1.83,0.61772,0.76155,0.17877,0.91208,4
35,2,0.63692,0.72657,0.16696,0.91749,4
17,1.3,0.65274,0.69401,0.15905,0.92103,4
33,1.67,0.63235,0.73425,0.17098,0.91573,4.1
35,1.75,0.63724,0.72510,0.17505,0.91411,4.1
23,1.83,0.64961,0.69959,0.16702,0.91735,3.9
36,1.67,0.61983,0.75682,0.17447,0.91398,3.9
25,1.68,0.61782,0.75999,0.17352,0.91429,3.9
20,1.84,0.61446,0.76518,0.17885,0.91136,3.9
32,1.85,0.61778,0.75964,0.17906,0.91156,3.9
32,1.78,0.64976,0.70005,0.16597,0.91855,3.9
60,2.26,0.61575,0.77388,0.18627,0.91034,3.5
41,2.1,0.63886,0.72933,0.16634,0.91833,3.5
29,1.75,0.64834,0.70661,0.16605,0.91840,3.5
30,1.68,0.62874,0.74252,0.17210,0.91514,3.5
40,2.03,0.61953,0.76561,0.17832,0.91257,3.5
39,1.76,0.63569,0.73067,0.17335,0.91470,3.5
43,1.91,0.61966,0.75991,0.17871,0.91264,3.5
40,1.71,0.64430,0.71616,0.16624,0.91823,3.5
49,2.1,0.60306,0.79506,0.18369,0.90994,3.5
42,2.01,0.60528,0.78874,0.18105,0.91090,3.5
21,1.3,0.62722,0.74056,0.16519,0.91786,4.3
10,1.07,0.64700,0.70025,0.15833,0.92110,4.3
15,1.31,0.64917,0.70062,0.15947,0.92104,4.3
27,1.44,0.66166,0.67498,0.16097,0.92034,4.3
57,1.47,0.63682,0.72718,0.16707,0.91793,3.8
31,1.22,0.66881,0.66459,0.15428,0.92367,3.8
24,1.23,0.66326,0.67476,0.15614,0.92325,3.8
